valence,lambda_t_measured,lambda_t_analytic,reif_gap,max_linearisation_deviation
3,0.250000000,0.250000000,0.187500,0.000e+00
4,0.375000000,0.375000000,0.234375,0.000e+00
5,0.452254249,0.452254249,0.247720,0.000e+00
6,0.500000000,0.500000000,0.250000,0.000e+00
7,0.530872450,0.530872450,0.211503,0.000e+00
8,0.551776695,0.551776695,0.176777,0.000e+00
9,0.566511111,0.566511111,0.148099,0.000e+00
10,0.577254249,0.577254249,0.125000,0.000e+00
11,0.585313383,0.585313383,0.106460,0.000e+00
12,0.591506351,0.591506351,0.091506,0.000e+00
